Gene,Locus Tag,Protein
,STM2870,putative inner membrane protein
prgK,STM2871,cell invasion protein
prgJ,STM2872,cytoplasmic cell invasion protein
prgI,STM2873,cytoplasmic cell invasion protein
prgH,STM2874,cell invasion protein
hilD,STM2875,"regulatory helix-turn-helix proteins, araC family"
hilA,STM2876,invasion genes transcription activator
iagB,STM2877,cell invasion protein
sptP,STM2878,protein tyrosine phosphate
sicP,STM2879,chaparone related to virulence
,STM2880,putative cytoplasmic protein
iacP,STM2881,putative acyl carrier protein
sipA,STM2882,cell invasion protein
sipD,STM2883,cell invasion protein
sipC,STM2884,cell invasion protein
sipB,STM2885,cell invasion protein
sicA,STM2886,surface presentation of antigens
spaS,STM2887,surface presentation of antigens
spaR,STM2888,surface presentation of antigens
spaQ,STM2889,surface presentation of antigens
spaP,STM2890,surface presentation of antigens
spaO,STM2891,surface presentation of antigens
invJ,STM2892,surface presentation of antigens
invI,STM2893,surface presentation of antigens
invC,STM2894,surface presentation of antigens
invB,STM2895,surface presentation of antigens
invA,STM2896,invasion protein
invE,STM2897,invasion protein
invG,STM2898,outer membrane invasion protein
invF,STM2899,invasion protein
invH,STM2900,invasion protein
,STM2901,putative cytoplasmic protein
,STM2902,putative cytoplasmic protein
,STM2903,putative cytoplasmic protein
,STM2904,putative ABC-type transport system
,STM2905,putative acetyltransferase
,STM2906,putative cytoplasmic protein
pphB,STM2907,serine/threonine specific protein phosphatase 2
,STM2908,putative cytoplasmic protein
mutS,STM2909,methyl-directed mismatch repair
,STM2910,putative cytoplasmic protein
,STM2911,putative permease
,STM2912,putative LysR family transcriptional regulator
,STM2913,putative permease
,STM2914,putative nucleoside-diphosphate-sugar epimerase
ygbM,STM2915,putative endonuclease
ygbL,STM2916,putative fuculose phosphate aldolase
ygbK,STM2917,putative tRNA synthase
ygbJ,STM2918,3-hydroxyisobutyrate dehydrogenase
ygbI,STM2919,"putative regulatory protein, deoR family"
,STM2920,putative transcriptional regulator
,STM2921,putative flavoprotein
,STM2922,putative 3-polyprenyl-4-hydroxybenzoate decarboxylase
,STM2923,putative cytoplasmic protein
rpoS,STM2924,sigma S (sigma 38) factor of RNA polymerase
nlpD,STM2925,lipoprotein
pcm,STM2926,L-isoaspartate protein carboxylmethyltransferase type II
surE,STM2927,"survival protein, protein damage control"
ygbO,STM2928,putative hydrogenase subunit
ispF,STM2929,"2C-methyl-d-erythritol-2,4-cyclodiphosphate synthase"
ispD,STM2930,4-phosphocytidyl-2C-methyl-D-erythritol synthase
ygbQ,STM2931,putative Septum formation initiator
ygbE,STM2932,putative inner membrane protein
cysC,STM2933,adenosine 5'-phosphosulfate kinase
cysN,STM2934,"ATP-sulfurylase, subunit 1"
cysD,STM2935,"ATP-sulfurylase, subunit 1"
iap,STM2936,aminopeptidase in alkaline phosphatase isozyme conversion
ygbF,STM2937,putative inner membrane protein
,STM2938,putative cytoplasmic protein
ygcH,STM2939,putative cytoplasmic protein
,STM2940,putative cytoplasmic protein
yghJ,STM2941,putative cytoplasmic protein
,STM2942,putative transposase
,STM2943,putative cytoplasmic protein
ygcB,STM2944,putative helicase
sopD,STM2945,secreted protein in the Sop family; transferred to eukaryotic cells
cysH,STM2946,3'-phosphoadenosine 5'-phosphosulfate reductase
cysI,STM2947,"NADPH dependent sulfite reductase, alpha subunit"
cysJ,STM2948,"sulfite reductase, beta (flavoprotein) subunit"
ptpS,STM2949,putative synthase
,STM2950,putative metal-dependent hydrolases of the beta-lactamase superfamily II
ygcF,STM2951,putative organic radical activating enzymes
eno,STM2952,enolase
pyrG,STM2953,CTP synthetase
mazG,STM2954,putative pyrophosphatase
,STM2955,putative transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain and a metal-binding domain
relA,STM2956,(p)ppGpp synthetase I
ygcA,STM2957,putative RNA methyltransferase
barA,STM2958,sensory histidine kinase
,STM2959,putative glycerate kinase 2
gudD,STM2960,d-glucarate dehydratase
ygcY,STM2961,putative d-glucarate dehydratase
gudT,STM2962,putative MFS superfamily D-glucarate permease
,STM2963,putative MFS superfamily D-glucarate permease
yqcB,STM2964,putative synthase
yqcC,STM2965,putative cytoplasmic protein
syd,STM2967,interacts with secY
yqcD,STM2968,putative GTP cyclohydrolase I
ygdH,STM2969,putative nucleotide binding
sdaC,STM2970,putative HAAAP family serine transport protein
sdaB,STM2971,L-serine dehydratase
exo,STM2972,"exonuclease IX, 5'-3' exonuclease"
fucO,STM2973,"L-1,2-propanediol oxidoreductase"
fucA,STM2974,L-fuculose-1-phosphate aldolase
fucI,STM2976,L-fucose isomerase
fucK,STM2977,L-fuculokinase
fucU,STM2978,conserved protein of fucose operon
fucR,STM2979,positive regulator of the fuc operon
ygdE,STM2980,putative SAM-dependent methyltransferase
ygdD,STM2981,putative small membrane protein
gcvA,STM2982,regulator of gcv operon
ygdI,STM2983,putative lipoprotein
csdA,STM2984,putative selenocysteine lyase
ygdK,STM2985,putative SufE protein probably involved in Fe-S center assembly
,STM2986,putative integral membrane protein
ygdL,STM2987,putative enzyme
mltA,STM2988,membrane-bound lytic murein transglycosylase A
amiC,STM2991,N-acetylmuramoyl-L-alanine amidase
argA,STM2992,N-alpha-acetylglutamate synthase
recD,STM2993,"exonuclease V, alpha chain"
recB,STM2994,"exonuclease V, beta chain"
ptr,STM2995,protease III
recC,STM2996,"exonuclease V, subunit"
ppdC,STM2997,prepilin peptidase dependent protein C
ygdB,STM2998,putative periplasmic protein
ppdB,STM2999,prepilin peptidase dependent protein B
ppdA,STM3000,prepilin peptidase dependent protein A
thyA,STM3001,thymidylate synthetase
lgt,STM3002,phosphatidylglycerol-prolipoprotein diacylglyceryl transferase
ptsP,STM3003,"general PTS system enzyme I, transcriptional regulator with NPR and NTR proteins"
ygdP,STM3004,putative invasion protein
mutH,STM3005,methyl-directed mismatch repair protein
ygdQ,STM3006,putative integral membrane transport protein
ygdR,STM3007,putative POT family peptide transport protein
tas,STM3008,putative aldo/keto reductase
ygeD,STM3009,putative efflux protein
aas,STM3010,2-acylglycerophospho-ethanolamine acyl transferase
galR,STM3011,transcriptional repressor of galETK operon
,STM3012,putative transcriptional regulator
lysA,STM3013,diaminopimelate decarboxylase
lysR,STM3014,positive LysR family transcriptional regulator
ygeA,STM3015,putative aspartate racemase
araE,STM3016,L-arabinose: proton symport protein
kduD,STM3017,2-deoxy-D-gluconate 3-dehydrogenase
kduI,STM3018,putative pectin degrading enzyme
yqeF,STM3019,putative acetyl-CoA acetyltransferase
,STM3020,putative LysR family transcriptional regulator
,STM3021,putative inner membrane protein
,STM3022,putative transport protein
yohL,STM3023,putative cytoplasmic protein
yohM,STM3024,putative inner membrane protein
,STM3025,putative cytoplasmic protein
,STM3026,putative outer membrane protein
stdC,STM3027,putative fimbrial chaparone protein
stdB,STM3028,putative outer membrane usher protein
stdA,STM3029,putative fimbrial-like protein
,STM3030,putative periplasmic protein
,STM3031,ail and ompX-like protein
tnpA_4,STM3032,transposase for IS200
,STM3033,putative nucleic acid-binding protein
,STM3034,putative cytoplasmic protein
,STM3035,putative periplasmic protein
,STM3036,putative inner membrane protein
,STM3038,putative metalloendopeptidase
idi,STM3039,isopentenyldiphosphate isomerase
lysS,STM3040,constitutive lysine tRNA synthetase
prfB,STM3041,peptide chain release factor RF-2
recJ,STM3042,ssDNA exonuclease
dsbC,STM3043,protein disulfide isomerase II
xerD,STM3044,site-specific recombinase
fldB,STM3045,flavodoxin 2
ygfX,STM3046,putative inner membrane protein
ygfY,STM3047,putative cytoplasmic protein
ygfZ,STM3048,putative aminomethyltransferase
yqfA,STM3049,putative hemolysin
yqfB,STM3050,putative cytoplasmic protein
bglA,STM3051,6-phospho-beta-glucosidase A
,STM3052,putative outer membrane protein
gcvP,STM3053,glycine cleavage complex protein P
gcvH,STM3054,glycine cleavage complex protein H
gcvT,STM3055,glycine cleavage complex protein T
visC,STM3056,putative monooxygenase
ubiH,STM3057,2-octaprenyl-6-methoxyphynol hydroxylase
pepP,STM3058,proline aminopeptidase P II
ygfB,STM3059,putative cytoplasmic protein
ygfE,STM3060,putative cytoplasmic protein
ygfA,STM3061,putative ligase
serA,STM3062,D-3-phosphoglycerate dehydrogenase
rpiA,STM3063,constitutive ribosephosphate isomerase
iciA,STM3064,inhibitor of replication initiation
yggE,STM3065,putative periplasmic immunogenic protein
yggA,STM3066,putative LYSE family amino acid transport protein
yggB,STM3067,putative membrane protein
fba,STM3068,fructose-bisphosphate aldolase
pgk,STM3069,phosphoglycerate kinase
epd,STM3070,D-erythrose 4-phosphate dehydrogenase
,STM3071,putative DNA-binding protein
,STM3072,putative inner membrane protein
,STM3073,putative ABC-type cobalt transport system
,STM3074,putative ABC-type cobalt transport system
,STM3075,putative ABC-type cobalt transport system
tktA,STM3076,transketolase 1 isozyme
yggG,STM3077,putative Zn-dependent proteases with possible chaperone function
speB,STM3078,agmatinase
,STM3079,putative hydrolase or acyltransferase
,STM3080,putative mannitol dehydrogenase
,STM3081,putative malate
,STM3082,putative zinc-binding dehydrogenase
,STM3083,putative mannitol dehydrogenase
,STM3084,putative gntR family regulatory protein
,STM3085,putative outer membrane lipoprotein
speA,STM3086,arginine decarboxylase
yqgB,STM3087,putative inner membrane protein
yqgC,STM3088,putative cytoplasmic protein
yqgD,STM3089,putative inner membrane protein
metK,STM3090,methionine adenosyltransferase 1
galP,STM3091,MFS family galactose:proton symporter
sprT,STM3092,putative cytoplasmic protein
endA,STM3093,DNA-specific endonuclease I
yggJ,STM3094,putative cytoplasmic protein
gshB,STM3095,glutathione synthetase
yqgE,STM3096,putative transcriptional regulator
yqgF,STM3097,putative endonuclease involved in recombination
,STM3098,putative transcriptional regulator
yggR,STM3099,putative protein transport
yggS,STM3100,putative enzyme with a TIM-barrel fold
yggT,STM3101,putative integral membran resistance protein
yggU,STM3102,putative cytoplasmic protein
yggV,STM3103,putative xanthosine triphosphate pyrophosphatase
yggW,STM3104,putative oxidase
yggM,STM3105,putative periplasmic protein
ansB,STM3106,periplasmic L-asparaginase II
yggN,STM3107,putative periplasmic protein
yggL,STM3108,putative cytoplasmic protein
yggH,STM3109,putative S-adenosylmethionine-dependent methyltransferase
mutY,STM3110,adenine DNA glycosylase
yggX,STM3111,putative cytoplasmic protein
mltC,STM3112,membrane-bound lytic murein transglycosylase C
nupG,STM3113,MFS family nucleoside transport
speC,STM3114,ornithine decarboxylase isozyme
yqgA,STM3115,putative inner membrane protein
,STM3117,putative lactoylglutathione lyase
,STM3118,putative acetyl-CoA hydrolase
,STM3119,putative monoamine oxidase
,STM3120,putative LysR family transcriptional regulator
,STM3121,putative LysR family transcriptional regulator
,STM3122,putative arylsulfatase
,STM3123,putative arylsulfatase regulator
,STM3124,putative response regulator
,STM3125,putative cytoplasmic protein
,STM3126,putative amino acid transporter
,STM3127,putative cytoplasmic protein
,STM3128,putative oxidoreductase
,STM3129,putative NAD-dependent aldehyde dehydrogenase
,STM3130,putative cytoplasmic protein
,STM3131,putative cytoplasmic protein
,STM3132,putative xylanase
,STM3133,putative amidohydrolase
,STM3134,putative permease
,STM3135,putative mannonate hydrolase
,STM3136,putative D-mannonate oxidoreductase
,STM3137,putative uronate isomerase
,STM3138,putative methyl-accepting chemotaxis protein
gsp,STM3139,glutathionylspermidine synthetase
yghU,STM3140,putative glutathione S-transferase
,STM3141,molybdenum-binding periplasmic protein
,STM3142,putative ferrichrome-binding periplasmic protein
hybG,STM3143,hydrogenase-2 operon protein
hybF,STM3144,putative hydrogenase expression/formation protein
hybE,STM3145,putative hydrogenase
hybD,STM3146,putative processing element for hydrogenase-2
hybC,STM3147,"hydrogenase-2, large subunit"
hybB,STM3148,putative cytochrome Ni/Fe component of hydrogenase-2
hybA,STM3149,unknown
hypO,STM3150,"putative Ni/Fe hydrogenases, small subunit"
yghW,STM3151,putative cytoplasmic protein
,STM3152,putative methyl-accepting chemotaxis protein
yqhA,STM3153,putative membrane-associated protein
,STM3154,putative ATP-dependent RNA helicase-like protein
,STM3155,putative cytoplasmic protein
,STM3156,putative cytoplasmic protein
yghA,STM3157,putative oxidoreductase
exbD,STM3158,uptake of enterochelin
exbB,STM3159,uptake of enterochelin
,STM3160,putative inner membrane protein
metC,STM3161,cystathionine beta-lyase
yghB,STM3162,putative DedA family membrane protein
yqhC,STM3163,putative AraC/XylS family transcriptional regulator
yqhD,STM3164,putative alcohol dehydrogenase
yqhE,STM3165,"2,5-diketo-D-gluconate reductase A"
,STM3166,putative cation transporter
,STM3167,putative diadenosine tetraphosphate (Ap4A) hydrolase
ygiR,STM3168,putative Fe-S oxidoreductase family 2
,STM3169,putative dicarboxylate-binding periplasmic protein
,STM3170,putative inner membrane protein
ygiK,STM3171,putative integral membrane protein
sufI,STM3172,suppressor of ftsI
plsC,STM3173,1-acyl-sn-glycerol-3-phosphate acyltransferase
parC,STM3174,"DNA topoisomerase IV, subunit A"
,STM3175,putative bacterial regulatory helix-turn-helix protein
ygiW,STM3176,putative outer membrane protein
ygiX,STM3177,putative transcriptional regulator
ygiY,STM3178,putative sensory histidine kinase in regulatory system
mdaB,STM3179,NADPH specific quinone oxidoreductase
ygiN,STM3180,putative cytoplasmic protein
parE,STM3181,"DNA topoisomerase IV, subunit B"
yqiA,STM3182,putative esterase
icc,STM3183,"cyclic 3',5'-adenosine monophosphate phosphodiesterase"
yqiB,STM3184,putative cytoplasmic protein
yqiE,STM3185,putative resistance protein
tolC,STM3186,outer membrane channel
ygiB,STM3187,putative inner membrane protein
ygiC,STM3188,putative glutathionylspermidine synthase
ygiD,STM3189,putative cytoplasmic protein
ygiE,STM3190,putative divalent heavy-metal cations transporter
,STM3191,putative arylsulfate sulfotransferase
,STM3192,putative arylsulfate sulfotransferase
,STM3193,putative thiol-disulfide isomerase and thioredoxin
,STM3194,putative disulfide isomerase
ribB,STM3195,"3,4 dihydroxy-2-butanone-4-phosphate synthase"
yqiC,STM3196,putative cytoplasmic protein
glgS,STM3197,rpoS dependent glycogen biosynthesis protein
,STM3198,putative inner membrane protein
yqiK,STM3199,putative membrane protein
rfaE,STM3200,putative sugar nucleotide transferase domain of ADP-L-glycero-D-manno-heptose synthase
glnE,STM3201,adenylyl transferase for glutamine synthetase
ygiF,STM3202,putative cytoplasmic protein
ygiM,STM3203,putative SH3 domain protein
cca,STM3204,tRNA nucleotidyl transferase
bacA,STM3205,bacitracin resistance
folB,STM3206,dihydroneopterin aldolase
ygiH,STM3207,putative inner membrane protein
gcp,STM3208,putative O-sialoglycoprotein endopeptidase
rpsU,STM3209,30S ribosomal subunit protein S21
dnaG,STM3210,DNA primase
rpoD,STM3211,sigma D factor of RNA polymerase
mug,STM3212,G/U mismatch specific DNA glycosylase
yqjH,STM3214,putative transporter
yqjI,STM3215,putative transcriptional regulator
